application_id,application_date,company,position,location,remote_type,source,status,min_salary_expectation,max_salary_expectation,required_experience_years,tech_stack,sql_required,python_required,tableau_required,powerbi_required,english_required,interview_date,response_date,application_score,company_size,industry,job_url,notes
1,2026-03-23,İş Bankası,Business Analyst,Ankara,On-site,Kariyer.net,HR Screening,80000.0,100000.0,4,"Tableau, SQL, Business Analytics",Yes,Yes,Yes,Yes,Yes,2026-03-26,2026-04-20,72,Startup,Gaming,https://example.com/job/1,
2,2026-02-23,HepsiPay,Business Analyst,Europe Remote,Hybrid,Indeed,Case Study,80000.0,90000.0,1,,No,Yes,Yes,No,Yes,2026-03-12,,62,Enterprise,Telecom,https://example.com/job/2,Strong match with SQL and Python requirements
3,2026-04-04,Turkcell,Reporting Analyst,,,Referral,Offer,100000.0,110000.0,5,"SQL, Power BI, Excel",Yes,Yes,No,Yes,Yes,2026-04-24,2026-04-12,95,Startup,Logistics,https://example.com/job/3,Case study expected
4,2026-02-28,Yapı Kredi,Data Analytics Specialist,Hybrid Istanbul,On-site,Kariyer.net,Rejected,90000.0,120000.0,4,"Python, pandas, Jupyter",Yes,Yes,No,No,No,,2026-03-10,99,Scale-up,SaaS,https://example.com/job/4,Strong match with SQL and Python requirements
5,2026-01-30,Papara,Junior Data Analyst,Remote,On-site,Wellfound,Applied,90000.0,,1,"Power BI, DAX, SQL",No,No,Yes,No,Yes,,,55,Enterprise,Logistics,https://example.com/job/5,Potentially high salary range
6,2026-02-21,Peak Games,Junior Data Analyst,Istanbul,Remote,Company Website,Rejected,60000.0,110000.0,5,"Python, pandas, Jupyter",No,Yes,No,No,No,,2026-03-05,73,Enterprise,E-commerce,https://example.com/job/6,Requires Power BI experience
7,2026-03-29,Midas,Operations Analyst,,Hybrid,LinkedIn,Final Interview,90000.0,100000.0,5,"Excel, SQL, Reporting",Yes,Yes,No,Yes,Yes,2026-04-21,,63,Scale-up,E-commerce,https://example.com/job/7,Potentially high salary range
8,2026-02-11,İş Bankası,Data Analyst,Remote,On-site,Kariyer.net,Offer,90000.0,,0,"Power BI, DAX, SQL",Yes,Yes,Yes,No,Yes,2026-02-14,,56,Corporate,Gaming,https://example.com/job/8,Requires strong English communication
9,2026-04-07,Etiya,Data Analytics Specialist,Hybrid Ankara,Hybrid,Cold Email,Case Study,80000.0,120000.0,0,"SQL, Python, Looker",Yes,Yes,No,Yes,Yes,,,77,Scale-up,E-commerce,https://example.com/job/9,Requires Power BI experience
10,2026-04-01,Getir,Product Analyst,Ankara,On-site,Referral,Applied,70000.0,,2,"Power BI, DAX, SQL",Yes,Yes,No,Yes,No,,,91,Corporate,Gaming,https://example.com/job/10,Requires Power BI experience
11,2026-01-13,Google,Financial Data Analyst,Istanbul,On-site,Kariyer.net,No Response,90000.0,130000.0,0,,No,Yes,Yes,Yes,Yes,,,74,Corporate,Banking,https://example.com/job/11,Banking domain experience preferred
12,2026-01-24,Microsoft,Risk Data Analyst,Ankara,Remote,LinkedIn,Final Interview,70000.0,80000.0,0,"SQL, Python, Looker",Yes,No,No,No,Yes,2026-02-10,,95,Corporate,E-commerce,https://example.com/job/12,"Remote role, good fit"
13,2026-02-18,Microsoft,Reporting Analyst,Europe Remote,On-site,Cold Email,Applied,100000.0,130000.0,1,"SQL, Python, Looker",No,Yes,Yes,Yes,No,,,43,Startup,Retail,https://example.com/job/13,Requires strong English communication
14,2026-04-28,Hepsiburada,Fraud Analyst,Ankara,On-site,Referral,Technical Interview,50000.0,70000.0,3,"SQL, Power BI, Excel",Yes,Yes,Yes,No,No,2026-05-02,2026-06-02,99,Enterprise,Gaming,https://example.com/job/14,
15,2026-01-31,Microsoft,Product Analyst,Ankara,Remote,Cold Email,Final Interview,60000.0,90000.0,4,"SQL, A/B Testing, Product Analytics",Yes,Yes,Yes,No,Yes,2026-02-15,,99,Enterprise,Fintech,https://example.com/job/15,
16,2026-02-17,Insider,Reporting Analyst,Istanbul,On-site,Indeed,Final Interview,120000.0,170000.0,5,"SQL, Power BI, Excel",Yes,No,Yes,Yes,Yes,2026-02-25,,57,Enterprise,Gaming,https://example.com/job/16,Company focuses on e-commerce analytics
17,2026-01-27,Getir,Junior Data Analyst,Europe Remote,Hybrid,LinkedIn,Final Interview,120000.0,150000.0,0,"Python, SQL, Statistics",Yes,No,Yes,No,No,,,75,Startup,Fintech,https://example.com/job/17,Requires Power BI experience
18,2026-05-01,Turkcell,Business Analyst,Europe Remote,Remote,LinkedIn,Technical Interview,90000.0,140000.0,2,"Python, SQL, Statistics",Yes,No,Yes,Yes,Yes,2026-05-21,2026-05-07,62,Corporate,Banking,https://example.com/job/18,Needs financial analytics knowledge
19,2026-04-21,Garanti BBVA,Product Analyst,Europe Remote,On-site,Referral,Technical Interview,100000.0,110000.0,2,"Python, pandas, Jupyter",Yes,No,Yes,No,Yes,2026-04-29,2026-05-24,52,Corporate,SaaS,,Case study expected
20,2026-04-16,Amazon,Product Analyst,Hybrid Istanbul,Remote,Indeed,Case Study,40000.0,60000.0,2,"Python, SQL, Machine Learning",No,No,Yes,Yes,No,,,51,Enterprise,E-commerce,https://example.com/job/20,Requires Power BI experience
21,2026-03-18,Google,Fraud Analyst,Ankara,Hybrid,Referral,No Response,90000.0,120000.0,2,"SQL, Python, Tableau",No,Yes,Yes,No,No,,,44,Enterprise,SaaS,https://example.com/job/21,Requires Power BI experience
22,2026-04-03,Param,Operations Analyst,Hybrid Istanbul,On-site,Company Website,Final Interview,80000.0,120000.0,1,"Tableau, SQL, Business Analytics",No,Yes,No,No,Yes,2026-04-22,,59,Enterprise,Gaming,https://example.com/job/22,Banking domain experience preferred
23,2026-04-11,Etiya,BI Analyst,Turkey Remote,On-site,Company Website,Rejected,,160000.0,5,"SQL, Power BI, Excel",No,No,Yes,Yes,No,,2026-04-30,54,Scale-up,Banking,https://example.com/job/23,Strong match with SQL and Python requirements
24,2026-01-06,Google,Data Analytics Specialist,Remote,On-site,GitHub Jobs,Case Study,50000.0,90000.0,3,,Yes,Yes,Yes,Yes,No,,,54,Scale-up,Retail,,Strong match with SQL and Python requirements
25,2026-03-13,Microsoft,Data Analytics Specialist,,Hybrid,GitHub Jobs,Case Study,,140000.0,4,"Power BI, DAX, SQL",Yes,No,No,No,Yes,2026-03-19,,93,Enterprise,Retail,,Needs financial analytics knowledge
26,2026-02-05,Papara,Product Analyst,Hybrid Ankara,On-site,Kariyer.net,Offer,80000.0,100000.0,1,"Python, pandas, Jupyter",Yes,No,Yes,Yes,Yes,2026-02-10,2026-03-04,66,Corporate,SaaS,https://example.com/job/26,Requires strong English communication
27,2026-03-01,Google,Operations Analyst,Istanbul,On-site,GitHub Jobs,No Response,40000.0,60000.0,3,"SQL, Python, Tableau",No,No,No,No,Yes,,,71,Scale-up,Telecom,https://example.com/job/27,Banking domain experience preferred
28,2026-03-04,Etiya,Data Analytics Specialist,,On-site,Company Website,Applied,100000.0,130000.0,3,"Python, pandas, Jupyter",Yes,No,Yes,Yes,No,,,48,Corporate,Banking,https://example.com/job/28,Strong match with SQL and Python requirements
29,2026-02-03,Microsoft,Product Analyst,Hybrid Ankara,Hybrid,Indeed,No Response,,110000.0,3,"Excel, SQL, Reporting",Yes,No,Yes,Yes,No,,,54,Startup,E-commerce,https://example.com/job/29,Strong match with SQL and Python requirements
30,2026-02-01,Akbank,Financial Data Analyst,Ankara,On-site,Referral,Case Study,60000.0,80000.0,3,"Excel, SQL, Reporting",No,Yes,Yes,Yes,No,2026-02-04,,46,Startup,Telecom,https://example.com/job/30,Potentially high salary range
31,2026-03-28,Hepsiburada,Fraud Analyst,Remote,Remote,Indeed,No Response,100000.0,120000.0,5,"SQL, A/B Testing, Product Analytics",Yes,Yes,No,No,No,,,44,Enterprise,E-commerce,https://example.com/job/31,Banking domain experience preferred
32,2026-04-16,Insider,Business Analyst,Europe Remote,Remote,Indeed,Offer,90000.0,130000.0,4,"Python, SQL, Machine Learning",No,No,No,No,No,2026-04-22,,94,Scale-up,Fintech,https://example.com/job/32,Case study expected
33,2026-04-23,KoçDigital,Data Analytics Specialist,Europe Remote,Hybrid,LinkedIn,Offer,120000.0,170000.0,3,"Python, SQL, Statistics",Yes,No,Yes,No,No,,2026-05-22,61,Enterprise,Telecom,https://example.com/job/33,Requires strong English communication
34,2026-01-02,Peak Games,Risk Data Analyst,Remote,On-site,Cold Email,Case Study,70000.0,110000.0,5,"Power BI, DAX, SQL",No,Yes,Yes,No,Yes,2026-01-07,,65,Scale-up,Telecom,https://example.com/job/34,Potentially high salary range
35,2026-02-17,Commencis,Risk Data Analyst,Hybrid Ankara,Hybrid,Cold Email,Offer,90000.0,,2,"Excel, SQL, Reporting",No,Yes,Yes,Yes,No,2026-03-09,2026-03-10,47,Scale-up,Gaming,https://example.com/job/35,Needs financial analytics knowledge
36,2026-04-05,Yapı Kredi,Reporting Analyst,Remote,Hybrid,Company Website,Offer,,90000.0,2,"SQL, Python, Tableau",Yes,No,Yes,Yes,No,,2026-05-03,84,Scale-up,Retail,https://example.com/job/36,
37,2026-04-22,Peak Games,Financial Data Analyst,Hybrid Ankara,Remote,LinkedIn,Applied,80000.0,120000.0,2,"Power BI, DAX, SQL",Yes,Yes,No,No,Yes,,,76,Startup,Banking,,"Remote role, good fit"
38,2026-04-14,Turkcell,Operations Analyst,Remote,On-site,GitHub Jobs,Final Interview,70000.0,80000.0,3,"Power BI, DAX, SQL",No,No,No,Yes,Yes,2026-04-19,,100,Scale-up,Gaming,https://example.com/job/38,Case study expected
39,2026-03-26,Hepsiburada,Business Analyst,Istanbul,Hybrid,Cold Email,HR Screening,60000.0,110000.0,5,"SQL, A/B Testing, Product Analytics",No,No,Yes,Yes,No,2026-04-03,2026-04-07,85,Enterprise,Retail,https://example.com/job/39,Requires Power BI experience
40,2026-03-29,Yemeksepeti,Risk Data Analyst,,On-site,Company Website,Case Study,70000.0,110000.0,2,"Python, pandas, Jupyter",Yes,Yes,Yes,No,No,2026-04-09,,68,Startup,Retail,https://example.com/job/40,Case study expected
41,2026-03-31,Turkcell,Financial Data Analyst,Turkey Remote,Remote,LinkedIn,No Response,80000.0,,3,,No,Yes,Yes,Yes,Yes,,,88,Enterprise,E-commerce,https://example.com/job/41,"Remote role, good fit"
42,2026-03-02,Hepsiburada,Financial Data Analyst,,,Wellfound,Offer,100000.0,140000.0,2,"SQL, Power BI, Excel",Yes,No,No,No,No,2026-03-13,2026-03-12,82,Corporate,E-commerce,,Good opportunity for junior analyst role
43,2026-01-12,HepsiPay,Operations Analyst,Istanbul,On-site,Cold Email,Rejected,90000.0,100000.0,3,"SQL, Python, Tableau",Yes,No,No,No,Yes,,,53,Enterprise,Banking,,Case study expected
44,2026-02-26,Midas,Risk Data Analyst,Istanbul,,GitHub Jobs,Offer,70000.0,90000.0,0,"SQL, Python, Looker",Yes,No,Yes,Yes,No,2026-03-04,2026-03-03,99,Enterprise,Telecom,https://example.com/job/44,Banking domain experience preferred
45,2026-04-17,Akbank,Operations Analyst,Remote,On-site,Company Website,Offer,120000.0,170000.0,0,"Excel, SQL, Reporting",No,No,No,Yes,No,2026-05-05,2026-04-29,86,Enterprise,Retail,https://example.com/job/45,"Remote role, good fit"
46,2026-02-27,Param,BI Analyst,Remote,,GitHub Jobs,Offer,100000.0,140000.0,1,"Tableau, SQL, Business Analytics",Yes,No,No,No,No,2026-03-13,,82,Scale-up,Retail,https://example.com/job/46,Strong match with SQL and Python requirements
47,2026-01-17,Yemeksepeti,Risk Data Analyst,Turkey Remote,Remote,Company Website,Rejected,50000.0,90000.0,3,"Python, pandas, Jupyter",Yes,No,No,No,No,,2026-02-18,81,Startup,SaaS,https://example.com/job/47,
48,2026-02-18,Getir,Fraud Analyst,Ankara,Remote,Indeed,Rejected,120000.0,170000.0,1,"SQL, Power BI, Excel",No,Yes,Yes,No,Yes,,2026-03-15,84,Enterprise,E-commerce,https://example.com/job/48,Strong match with SQL and Python requirements
49,2026-02-11,iyzico,Operations Analyst,Izmir,,GitHub Jobs,Applied,80000.0,110000.0,4,"Python, pandas, Jupyter",Yes,Yes,Yes,No,Yes,,,71,Scale-up,Gaming,https://example.com/job/49,Good opportunity for junior analyst role
50,2026-03-23,Microsoft,Reporting Analyst,Izmir,Remote,Cold Email,Final Interview,80000.0,90000.0,2,"SQL, A/B Testing, Product Analytics",No,No,No,No,No,2026-04-09,,52,Corporate,Retail,https://example.com/job/50,Requires Power BI experience
51,2026-01-31,Midas,Reporting Analyst,Istanbul,On-site,GitHub Jobs,No Response,90000.0,140000.0,2,"SQL, Python, Tableau",Yes,No,No,Yes,No,,,54,Scale-up,Telecom,https://example.com/job/51,"Remote role, good fit"
52,2026-03-22,Microsoft,Data Analyst,Hybrid Ankara,On-site,Company Website,HR Screening,40000.0,70000.0,0,"Excel, SQL, Reporting",No,No,Yes,Yes,Yes,2026-04-14,,90,Enterprise,Telecom,https://example.com/job/52,"Remote role, good fit"
53,2026-02-02,Microsoft,Junior Data Analyst,Izmir,,GitHub Jobs,Offer,,100000.0,4,"Python, SQL, Statistics",Yes,No,Yes,No,Yes,2026-02-14,2026-03-02,69,Enterprise,Telecom,https://example.com/job/53,Potentially high salary range
54,2026-02-18,Trendyol,Fraud Analyst,Hybrid Ankara,,Referral,Rejected,70000.0,110000.0,5,,No,No,No,Yes,Yes,,2026-02-26,42,Startup,Telecom,https://example.com/job/54,Good opportunity for junior analyst role
55,2026-01-15,Microsoft,Product Analyst,Europe Remote,On-site,Company Website,HR Screening,,100000.0,3,"SQL, Power BI, Excel",No,No,No,Yes,No,2026-01-25,2026-02-17,53,Corporate,Retail,https://example.com/job/55,Needs financial analytics knowledge
56,2026-04-20,Logo Yazılım,Product Analyst,Istanbul,Hybrid,Indeed,Rejected,,,1,"SQL, Power BI, Excel",No,Yes,Yes,Yes,Yes,,2026-04-28,90,Enterprise,Gaming,https://example.com/job/56,
57,2026-04-11,Yapı Kredi,BI Analyst,Hybrid Ankara,,LinkedIn,Case Study,70000.0,120000.0,2,"Python, pandas, Jupyter",Yes,No,Yes,Yes,Yes,2026-04-16,,48,Startup,SaaS,https://example.com/job/57,Needs financial analytics knowledge
58,2026-03-17,Getir,Business Analyst,Europe Remote,On-site,Kariyer.net,Rejected,60000.0,90000.0,5,"SQL, Power BI, Excel",No,No,No,Yes,No,,2026-03-22,72,Scale-up,E-commerce,https://example.com/job/58,
59,2026-02-08,Peak Games,Operations Analyst,Europe Remote,On-site,Kariyer.net,Offer,40000.0,,3,"Power BI, DAX, SQL",Yes,Yes,No,Yes,Yes,2026-03-03,2026-03-15,48,Enterprise,SaaS,https://example.com/job/59,Banking domain experience preferred
60,2026-03-18,Insider,Junior Data Analyst,Remote,Hybrid,Cold Email,Final Interview,100000.0,110000.0,1,"Tableau, SQL, Business Analytics",No,No,No,No,Yes,2026-04-04,,60,Corporate,SaaS,https://example.com/job/60,Case study expected
61,2026-02-17,Hepsiburada,Junior Data Analyst,Ankara,Hybrid,Kariyer.net,Technical Interview,120000.0,130000.0,5,,Yes,Yes,No,Yes,No,2026-03-13,2026-03-23,62,Corporate,E-commerce,https://example.com/job/61,Case study expected
62,2026-03-18,Dream Games,BI Analyst,Izmir,On-site,Cold Email,Final Interview,50000.0,100000.0,1,"SQL, Power BI, Excel",No,No,Yes,No,Yes,,,91,Corporate,E-commerce,https://example.com/job/62,Potentially high salary range
